batch_size,confidence_std_kendall_results,confidence_std_spread_results,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,n_input,n_output,name,nbytes_results,rmse_results,train_rmse_results,train_time_results,verbose,alg
1024,0.0568185270035756,3.951545738486292,64.0,1.0,999.0,1,5,337,9,1,protein,418380096,2.3698917582381065,1.0254299501548518,108.12317968532444,0,rf
1024,0.0277234814284258,1.3308011315513029,21.0,1.0,999.0,7,6,727,9,1,protein,237701440,2.62120090341239,1.8875976670112056,193.6582437623292,0,rf
1024,0.0048296725658172,1.3317687438613175,99.0,1.0,98.0,2,33,561,9,1,protein,7001280,3.533817005374395,3.4288322172229058,100.14441815949976,0,rf
1024,0.0118722167030827,0.8591257072806485,31.0,1.0,999.0,38,4,273,9,1,protein,16633920,3.03617080795274,2.896669093982314,58.59421864897013,0,rf
1024,0.0575691548305685,3.849602260740349,99.0,1.0,999.0,2,4,375,9,1,protein,489001664,2.3179440714189274,1.0885058460401478,114.88516903994604,0,rf
1024,0.0130355457878206,0.7714614991442806,74.0,1.0,999.0,36,12,589,9,1,protein,37907264,3.1115531944738604,2.84997334726906,127.1556177828461,0,rf
1024,0.0219995470736601,0.7701631428470821,99.0,1.0,999.0,33,15,314,9,1,protein,22091904,3.0227793056190446,2.8119264880231083,68.9467551484704,0,rf
1024,0.0622832584289852,3.0544615532199537,31.0,1.0,999.0,2,2,253,9,1,protein,327730368,2.50096771283756,1.0815916477066858,78.53770993463695,0,rf
1024,0.030732018180958,1.252138579234544,99.0,1.0,999.0,18,25,66,9,1,protein,8602624,2.898540462135784,2.4890196576391177,14.120300032198427,0,rf
1024,0.0310004286564458,0.6658381967875575,72.0,1.0,999.0,34,11,317,9,1,protein,21630656,3.0598834214756723,2.8252404560182067,69.02712874859571,0,rf
1024,0.0320030434900896,0.8005939949508877,11.0,1.0,999.0,2,23,339,9,1,protein,27727424,2.9573914197001474,2.711350782960712,72.88584754802287,0,rf
1024,0.0625768218453232,2.1236526380387946,99.0,1.0,999.0,1,13,744,9,1,protein,399144192,2.5329014648247816,1.4797285677479537,224.524679845199,0,rf
1024,0.0427629109981978,0.8769249387580819,99.0,1.0,999.0,28,24,123,9,1,protein,10218176,3.006800085577497,2.724895349231808,27.53254370763898,0,rf
1024,0.0552924253534185,2.6346666195845234,79.0,1.0,999.0,3,3,762,9,1,protein,636395776,2.362496060335361,1.309213740104081,228.2941057649441,0,rf
1024,0.0391955595760878,0.7921035112236992,99.0,1.0,999.0,39,6,622,9,1,protein,36887424,3.177095933551773,2.892387225184431,132.67034644447267,0,rf
1024,0.0533191209699065,3.1119150276261207,44.0,1.0,999.0,2,15,119,9,1,protein,51433664,2.465850768208023,1.648791760127073,35.082527516409755,0,rf
1024,0.0428094607417578,0.6458800770892771,10.0,1.0,999.0,1,11,229,9,1,protein,16124992,3.142151793968543,2.865442597277577,46.36428480967879,0,rf
1024,0.0185183620793915,0.6441884098123282,7.0,1.0,709.0,3,27,463,9,1,protein,6579776,3.6053955068696775,3.608748347740129,70.77700913511217,0,rf
1024,0.0409501862486084,2.8137317591730886,74.0,1.0,999.0,2,3,313,9,1,protein,408134336,2.41705425445158,1.0858264679950271,96.833861714229,0,rf
1024,0.0222514822275841,0.6459004772478357,90.0,1.0,999.0,30,21,407,9,1,protein,31533120,3.025624482428168,2.7578931283877868,90.0575469918549,0,rf
1024,0.0230990037297877,1.3204738072964424,70.0,1.0,999.0,11,19,295,9,1,protein,63453888,2.7377848139674845,2.1755422455783173,74.89437773264945,0,rf
1024,0.0747013719455019,1.3816569717966287,15.0,1.0,999.0,8,13,344,9,1,protein,71976960,2.759865533210454,2.1457356060057213,85.09124818816781,0,rf
1024,0.0684231265712018,1.207958708187417,16.0,1.0,999.0,11,6,577,9,1,protein,103994048,2.79632099994413,2.2459054406183028,141.3258942067623,0,rf
1024,0.0670035679806949,1.815220259113606,14.0,1.0,999.0,4,4,765,9,1,protein,210307264,2.61715767820084,2.01317956677139,171.91397238569334,0,rf
1024,0.0344656434434386,0.9082504012861756,15.0,1.0,861.0,30,29,511,9,1,protein,36924736,2.9856166584766317,2.7863317161061234,112.2939484110102,0,rf
1024,0.0402544594281179,1.4567902123512964,70.0,1.0,999.0,16,8,263,9,1,protein,38622656,2.7655860863707966,2.4139544361145555,57.28114065527916,0,rf
1024,-0.0300813552005953,0.839419663026382,54.0,1.0,165.0,12,4,117,9,1,protein,2463552,3.2409460563683665,3.1743325343494644,22.712661368772388,0,rf
1024,0.0432649636531601,22040.63650522342,33.0,1.0,999.0,1,3,474,9,1,protein,934156928,2.2868902650670297,0.9107906975256576,156.17138645611703,0,rf
1024,0.0399163292169994,1.1186176945264796,6.0,1.0,999.0,1,4,438,9,1,protein,3514368,3.885454480835016,3.856875059183214,53.33364871516824,0,rf
