batch_size,boosting,confidence_quantile_kendall_results,confidence_quantile_spread_results,feature_fraction,lambda_l2,learning_rate,max_depth,min_data_in_leaf,n_estimators,n_input,n_output,name,nbytes_results,num_leaves,rmse_results,subsample,train_rmse_results,train_time_results,verbose,alg
1024,gbdt,0.0832079839105945,3.939164611934862,1.0,0.3640210446719394,0.1386839387248647,83,46,553,9,1,protein,2888872,55,2.5007976253094903,0.9122222071272535,1.5588091984293833,70.13646018132567,0,lgbm
1024,gbdt,0.0957020945116479,690.4563120741544,1.0,1.3735582632565446,0.0947405133405648,28,4,593,9,1,protein,3553256,63,2.46598566476634,0.9628306644563748,1.4870677321173331,93.093690847978,0,lgbm
1024,gbdt,0.0848795599663027,1.1013109781528791,1.0,1.7321798645195567,0.1874760076864358,56,21,716,9,1,protein,1678304,25,2.5443828483990854,0.8142421536531214,1.6828984968370233,44.20274496171624,0,lgbm
1024,dart,0.1067530421821115,0.1885802149402775,1.0,1.1292888510846182,0.1751561530971285,91,10,712,9,1,protein,2420800,36,2.67011277664008,0.9011538689198952,2.1264657353572862,117.3031005244702,0,lgbm
1024,gbdt,0.1553609373667364,0.0247591142982754,1.0,1.2472731015965215,0.0523245398058411,96,18,74,9,1,protein,315536,45,3.2842782439760856,0.8404785387111277,3.1945244634752217,9.089330491609871,0,lgbm
1024,gbdt,0.157514618516619,0.0176977175738921,1.0,0.5293428948044441,0.0769440651649268,60,36,51,9,1,protein,85272,18,3.646127076811072,0.936727534102295,3.6174966051552326,2.777589412406087,0,lgbm
1024,gbdt,0.1677415941469677,0.0144685961933413,1.0,0.5765887101061311,0.0100724873493053,61,13,225,9,1,protein,1197000,56,3.5460294155113345,0.7284915424689447,3.47917272034105,34.19917873758823,0,lgbm
1024,dart,0.2399387146142576,0.1345617162448326,1.0,0.1499844352863226,0.0085399315393175,34,48,396,9,1,protein,2220768,59,3.9938316853720472,0.8027185093072763,3.9883871550389047,85.923888922669,0,lgbm
1024,dart,0.2487241840392284,0.0095937747935972,1.0,0.6480114753317567,0.0109076753564636,89,41,104,9,1,protein,493376,50,4.559552305136729,0.7274698080299226,4.583512677343511,16.040170763619244,0,lgbm
1024,gbdt,0.1115448571731002,0.7421865484529555,1.0,0.4309125344344893,0.0837057412762445,16,20,209,9,1,protein,1633544,82,2.603776079478577,0.940479744705468,2.077878637011376,40.92235808819533,0,lgbm
1024,gbdt,0.1292362573430551,0.0546105259490726,1.0,1.284133115813891,0.0156005713425291,63,3,693,9,1,protein,1291752,20,3.253127842355139,0.861939624427656,3.1437074442506745,38.557807511650026,0,lgbm
1024,gbdt,0.0838328611445895,3.5725166652780307,1.0,1.0459924844306063,0.1795523975064941,98,41,779,9,1,protein,3695576,50,2.5018659741060145,0.9400490824858926,1.2525276120575173,89.49006257299334,0,lgbm
1024,gbdt,0.1402856703888911,0.0409613401605181,1.0,0.595200413165188,0.0063474875838159,98,28,618,9,1,protein,5838864,99,2.978202659744331,0.9326227180869254,2.762133328297464,160.02147841267288,0,lgbm
1024,gbdt,0.1597903442600632,0.0204756968981023,1.0,0.5931194969942457,0.0061210740251305,91,49,570,9,1,protein,1390800,26,3.564581527105588,0.8601662564993917,3.516766537081444,44.19026027340442,0,lgbm
1024,gbdt,0.1489863191784714,0.0403426057960124,1.0,1.4727563428507675,0.0835393009535037,51,35,51,9,1,protein,300696,62,3.1008746227498256,0.7440951608112588,2.955988798183792,8.764415232464671,0,lgbm
1024,gbdt,0.0922310329259959,12.201271397901168,1.0,0.123927536646168,0.0906932566858028,62,41,480,9,1,protein,2323200,51,2.56867182295337,0.7819565756980674,1.9060107517273797,59.18778856191784,0,lgbm
1024,gbdt,0.0901621464116986,2.991346309588286,1.0,1.9229507829077448,0.0908678510983625,58,13,770,9,1,protein,2839760,39,2.530715074999978,0.9746109686654416,1.7270962830846617,76.86944648995996,0,lgbm
1024,gbdt,0.0883882796806151,25.414425935535156,1.0,1.6783986415204586,0.1502411018884134,32,35,442,9,1,protein,3242512,77,2.4541567865506404,0.9656805826735696,1.388471588462672,81.3500241599977,0,lgbm
1024,gbdt,0.1034823392165481,0.097921491453865,1.0,0.0307638302246244,0.0141818522247026,28,37,526,9,1,protein,4313200,86,2.796185962214823,0.8739173093474918,2.506703017143592,117.36340878903866,0,lgbm
1024,gbdt,0.170257884000939,0.0149070868047091,1.0,1.6378987149180135,0.0087241597947589,52,5,296,9,1,protein,1318976,47,3.5142364207841044,0.7223355010778851,3.4559230367104794,39.33817504160106,0,lgbm
