batch_size,best_rmse_results,confidence_D_diagonal_kendall_results,confidence_D_diagonal_spread_results,confidence_D_entropy_kendall_results,confidence_D_entropy_spread_results,confidence_power_kendall_results,confidence_power_spread_results,confidence_std_kendall_results,confidence_std_spread_results,dropout_body,dropout_d,dropout_y,epoch,layers_body,layers_d,layers_y,load_distribution_lambda,lr,n_citizens,n_input,n_output,name,nbytes_results,power_entropy_results,rmse_results,solver,speaker_entropy_results,specialization_lambda,train_time_results,verbose,width_body,width_d,width_y,alg
1024,2.171800035683174,-0.0417891717758405,0.012536402,0.1651746358864253,0.020661073,0.1624089458269855,0.020581445,-0.07074031755903,0.11660692,0.0100866381538775,0.0921811422860037,0.3656468224948873,95,2,2,2,0.3985925718604755,0.0017735034595806,29,9,1,protein,11983612,0.04112349152565,1.4079684,sink_many,0.1909260809421539,0.9880390182399258,241.64468066580596,0,151,133,130,le
1024,2.61436965506958,-0.0420469989584958,0.018144617,0.1612189965285752,0.030773003,0.1867962363194698,0.100236304,-0.0134456285285826,1.4004527,0.3626752665896715,0.1755419828113326,0.1498380320213553,100,3,1,2,0.703078466653328,0.0006525777016073,32,9,1,protein,21161088,0.3438927352428436,2.6038036,sink_many,0.2869667112827301,0.7289943605657359,266.1532941237092,0,104,224,285,le
1024,2.3639257154706,0.1608113062014754,0.1858276,0.2694569779591483,0.25875106,0.3192802854083728,0.32531747,0.0273567317848409,0.11622214,0.2764575410574475,0.0097544802954835,0.3515239431677529,139,0,3,2,0.9275233848408896,0.0026632310930319,2,9,1,protein,314264,0.3422280967235565,1.7565919,sink_many,0.8610077500343323,0.0,88.89415397495031,0,134,120,88,le
1024,2.4230061973742676,0.0159835195694461,0.00017305701,-0.0103540912587833,0.00409332,-0.0265390609442072,0.0005337277,0.0184247504116586,0.12288662,0.2427312544045102,0.1049142883242929,0.0,110,2,1,3,0.029381177847598,0.0004110987784924,11,9,1,protein,7242576,0.0324167877435684,2.741798,sink_many,4.9714142136281225e-08,0.7668706484021905,133.06873707287014,0,102,109,240,le
1024,2.360035691312771,0.0512068943677992,0.020592954,0.1186837995175225,0.03278996,0.0240906834114489,0.055067796,-0.0733838704128841,1.5199566,0.0639071739782902,0.3564118281810891,0.2095401933860237,111,1,1,1,0.4104377689050953,0.0031356702824084,7,9,1,protein,1285088,0.0602295123040676,10.194862,sink_many,0.3613472044467926,0.5945121079985163,101.77784319780768,0,110,110,284,le
1024,2.4359475554734042,-0.0376024375112907,0.022320325,0.0121083233907713,0.0043909373,0.1039304359783944,0.034682546,-0.1041055551312774,0.25638476,0.0665008220821167,0.2307196605208215,0.3957560339011086,196,1,2,1,0.4870398023174195,0.0032274651986854,21,9,1,protein,16090368,0.1210763111710548,12.352576,sink_many,0.2081487119197845,0.7698676129354699,325.1996219493449,0,236,297,101,le
1024,2.020365566109886,0.1264649179415979,0.22462237,0.2175165021156144,0.2481949,0.1108768632717175,0.19018856,-0.0430221995603551,0.34110153,0.0,0.263494383522343,0.0610743319038058,170,0,3,1,0.9563986761021984,0.0028728002295945,4,9,1,protein,2792112,0.509659081697464,3.942914,sink_many,0.9568343758583068,0.0,125.22154607251288,0,40,291,44,le
1024,2.5562899062625886,-0.1059293239798922,0.002111279,0.1105166099512769,0.026713409,0.0807019838268666,0.013068218,0.0566751211495073,3.1383398,0.3592884533759086,0.0332231387161249,0.0,107,3,1,1,0.3832295452456986,0.0010551434956273,36,9,1,protein,8531280,0.8164405822753906,1.2047639,sink_many,0.2503411322832107,0.0,266.05856888741255,0,76,248,240,le
1024,2.534822695222473,-0.0217469970690663,0.07156241,0.0185957610679726,0.14564028,0.0110815199853218,0.11303009,0.1030336392311618,475.68915,0.0365926924531696,0.3439943363272064,0.1415495942407079,123,1,4,1,0.6651893745736722,0.0018716673861747,2,9,1,protein,2315072,0.8761006236076355,5.733575,sink_many,0.8716686129570007,0.0,98.10798153281212,0,136,273,186,le
1024,1.791377302602234,0.1025206634148662,0.032750294,0.1099924567622561,0.14530574,0.203768853512017,0.20121722,0.0383237691177004,3.5661762,0.3991856902072104,0.0505493870595218,0.1621826384343287,64,1,1,3,0.0,0.0011142372630865,10,9,1,protein,3463760,0.469893604516983,2.0774815,sink_many,0.4731157779693603,0.0,72.93752396479249,0,117,234,139,le
1024,2.012892872302666,0.0793060459593924,0.0100690285,0.1346221458565516,0.13994975,0.1697021449432018,0.13884705,0.0690757173679011,4.213432,0.0331461058237217,0.0308496443969402,0.0,171,1,1,2,0.6568307364359326,0.0042740593665736,21,9,1,protein,5389944,0.5156821191310883,3.7942631,sink_many,0.4308777272701263,0.0,258.331777041778,0,15,175,231,le
1024,2.427491034288101,-0.0978225581606619,0.07621921,-0.0080660324458764,0.15672618,0.0154050975362118,0.116961494,0.0281346719691023,375.09518,0.3578197702682414,0.3728640267992783,0.3121376460912237,56,2,2,1,0.9620949598402248,0.0033760791401868,2,9,1,protein,1930424,0.1058424860239029,1.357353,sink_many,1.7198266277773658e-07,0.0,35.165123453363776,0,263,251,148,le
